Year,Region,State for Tableau,Eggs,"Food prep. by consumer unit, out-of-town trips","Meats, poultry, fish, and eggs",Bakery products,Beef,Cereals and bakery products,Cereals and cereal products,Dairy products,Fats and oils,Fish and seafood,Food away from home,Food at home,Food,Fresh vegetables,Fresh fruits,Fruits and vegetables,Fresh milk and cream,Miscellaneous foods,Nonalcoholic beverages,Other dairy products,Other food at home,Other meats,Pork,Poultry,Processed fruits,Processed vegetables,Sugar and other sweets,Alcoholic beverages
1996,west,California,68.45830901856763,108.53146551724136,1222.231273209549,469.189874005305,363.99783819628647,766.3991180371353,297.20924403183017,556.0150464190981,140.25604774535807,168.64120026525197,3150.7519297082226,5060.905722811671,8211.657652519893,288.8606697612732,303.8881034482758,930.031173740053,235.42979442970818,714.6379575596817,420.7681432360743,320.58525198938986,1586.2291114058355,153.61376657824934,232.0903647214854,235.42979442970818,198.69606763925728,138.58633289124668,203.70521220159145,539.317897877984
1996,All,,56.770305039787786,81.81602785145887,1230.579847480106,469.189874005305,358.98869363395227,746.3625397877983,277.17266578249337,520.9510344827586,138.58633289124668,146.9349071618037,3043.8901790450927,4802.099920424404,7844.320384615385,245.44808355437667,255.4663726790451,818.160278514589,220.40236074270558,652.8585079575597,420.7681432360743,300.548673740053,1484.3765053050395,165.3017705570292,262.1452320954907,240.43893899204244,183.66863395225465,133.57718832891248,190.3474933687003,515.9418899204244
1995,northeast,New York,61.579809782608706,71.84311141304347,1481.3365353260874,569.6132404891305,396.8476630434783,903.1705434782608,333.55730298913045,561.0604891304349,148.81787364130437,220.66098505434783,2990.041875000001,5340.337948369566,8330.379823369565,301.056847826087,299.34629755434787,944.22375,225.79263586956523,603.8242459239133,427.6375679347826,335.26785326086963,1448.8360801630436,224.08208559782608,266.8458423913044,311.3201494565218,205.26603260869567,138.55457201086958,195.00273097826093,559.3499388586956
1995,midwest,Iowa,41.053206521739135,75.26421195652175,1144.3581317934786,443.0325203804349,378.0316100543478,703.0361616847828,260.00364130434787,477.24352581521737,130.00182065217393,119.73851902173917,2945.5675679347833,4491.9050135869575,7437.47258152174,195.00273097826093,232.63483695652172,704.7467119565217,201.84493206521745,648.2985529891305,417.3742663043478,275.39859375000003,1462.5204823369568,172.7655774456522,234.3453872282609,198.42383152173915,148.81787364130437,128.2912703804348,193.29218070652172,446.4536209239131
1995,south,Florida,49.60595788043479,63.290360054347836,1276.0705027173915,429.34811820652186,398.55821331521736,691.0623097826088,261.714191576087,461.84857336956526,135.13347146739133,150.5284239130435,2815.565747282609,4491.9050135869575,7307.470760869565,217.2398845108696,215.5293342391305,716.7205638586956,198.42383152173915,590.1398437500002,386.5843614130435,263.42474184782606,1346.203063858696,159.0811752717391,294.21464673913044,224.08208559782608,141.97567255434782,143.68622282608695,171.05502717391306,413.9531657608696
1995,west,California,58.15870923913044,106.05411684782612,1289.7549048913045,482.37517663043485,381.4527105978262,776.5898233695652,292.5040964673913,566.1921399456522,155.6600747282609,198.42383152173915,2955.830869565217,5129.940264945653,8084.060584239131,248.02978940217395,263.42474184782606,821.0641304347827,225.79263586956523,764.6159714673913,427.6375679347826,340.399504076087,1674.628716032609,165.9233763586957,261.714191576087,225.79263586956523,177.8972282608696,131.71237092391306,220.66098505434783,525.1389334239129
1995,All,,51.31650815217392,76.97476222826089,1286.3338043478266,472.11187500000005,390.00546195652186,754.3526698369566,282.24079483695647,508.0334307065218,140.26512228260873,165.9233763586957,2911.3565625,4794.672411684783,7706.028974184784,234.3453872282609,246.3192391304348,781.7214741847827,210.39768342391307,644.8774524456522,410.5320652173913,297.63574728260875,1464.2310326086956,177.8972282608696,266.8458423913044,236.05593750000003,164.21282608695654,136.84402173913043,191.58163043478262,473.8224252717392
1994,northeast,New York,50.84956128133705,78.90449164345405,1472.8838440111422,543.5642757660167,417.3170891364903,843.4013440111421,299.8370682451253,559.3451740947075,143.78151810584959,215.67227715877442,3107.083537604457,5144.572855153204,8251.65639275766,294.5767688022285,277.0424373259053,892.4974721448468,231.45317548746516,583.8932381615599,391.0155919220056,327.8919986072424,1376.445020891365,194.63107938718662,282.3027367688023,312.11110027855153,187.61734679665744,135.01435236768805,180.60361420612813,548.8245752089136
1994,midwest,Iowa,43.8358286908078,80.65792479108636,1134.4712465181058,450.6323189415042,357.70036211699164,722.4144568245125,271.78213788300843,471.6735167130919,117.48002089136492,108.71285515320335,2917.7127576601674,4448.459895543177,7366.1726532033435,198.1379456824513,210.4119777158774,703.1266922005573,213.91884401114208,625.9756337047354,410.303356545961,257.7546727019499,1418.5274164345403,166.5761490250696,256.0012395543175,199.89137883008357,166.5761490250696,126.24718662952648,184.11048050139283,431.34455431754884
1994,south,Florida,54.356427576601675,63.12359331476324,1315.074860724234,438.358286908078,420.8239554317548,704.8801253481895,266.52183844011137,475.1803830083566,145.5349512534819,150.79525069637884,2863.356330083565,4590.4879805013925,7453.844310584958,217.42571030640667,206.90511142061283,708.3869916434539,213.91884401114208,603.1810027855154,398.0293245125348,261.26153899721453,1386.9656197771592,152.54868384401115,298.08363509749296,238.46690807799442,143.78151810584959,140.27465181058494,177.09674791086348,459.39948467966576
1994,west,California,63.12359331476324,113.97315459610027,1236.1703690807801,462.9063509749303,389.26215877437335,773.2640181058498,310.35766713091925,548.8245752089136,150.79525069637884,168.32958217270198,3115.8507033426185,5018.3256685236765,8134.176371866295,257.7546727019499,263.01497214484687,811.8395473537605,240.22034122562684,743.4556545961003,440.11172005571035,308.60423398328686,1648.2271587743735,152.54868384401115,243.72720752089137,220.9325766016713,166.5761490250696,124.49375348189415,199.89137883008357,541.8108426183844
1994,All,,52.60299442896935,80.65792479108636,1283.5130640668526,468.1666504178273,398.0293245125348,752.2228203342619,284.05616991643456,506.7421796657382,138.52121866295266,156.05555013927574,2977.329484679666,4755.310696378831,7734.3936142061275,236.71347493036214,233.2066086350975,766.2502855153202,222.6860097493036,634.7427994428971,408.5499233983287,284.05616991643456,1446.5823467966575,164.8227158774373,273.53557103064065,240.22034122562684,163.06928272980502,133.26091922005568,184.11048050139283,487.45441504178274
1993,northeast,New York,55.754164285714296,86.32902857142858,1534.138778571429,577.3253785714286,455.02592142857145,879.4769785714287,302.1516000000001,595.3105928571429,143.8817142857143,214.02405,3107.8450285714284,5366.787942857143,8474.632971428571,271.57673571428575,276.9723,902.8577571428572,230.21074285714286,636.6765857142857,401.0702785714285,365.09985,1455.0038357142855,212.22552857142855,275.17377857142856,321.9353357142857,203.23292142857144,151.07580000000004,187.04622857142857,564.7357285714286
1993,midwest,Iowa,44.963035714285716,73.73937857142856,1214.0019642857142,471.2126142857143,399.2717571428572,737.3937857142857,266.1811714285714,508.98156428571434,131.29206428571428,113.30685,2911.806192857143,4602.416335714286,7514.222528571429,197.83735714285717,224.81517857142856,710.4159642857143,232.0092642857143,627.6839785714286,408.26436428571435,276.9723,1431.623057142857,172.65805714285716,280.56934285714283,201.4344,158.26988571428572,129.49354285714287,192.44179285714287,449.6303571428571
1993,south,Florida,55.754164285714296,70.14233571428571,1291.3383857142858,435.24218571428565,422.65253571428576,715.8115285714285,280.56934285714283,476.6081785714286,140.28467142857141,151.07580000000004,2942.381057142857,4611.4089428571415,7553.790000000001,219.4196142857143,215.82257142857142,731.9982214285715,217.62109285714286,604.3032000000002,393.8761928571429,258.98708571428574,1395.6526285714287,152.87432142857142,294.9575142857143,212.22552857142855,149.27727857142858,147.47875714285715,185.24770714285717,386.6821071428572
